video_id,titulo,descrição,data_publicacao,Visualizações,Likes,Comentários,Taxa de Engajamento,thumbnail_url,youtube_url
eWAdpUyzCkI,"JENNIE, Doechii - ExtraL (Official Video)","Official music video for “ExtraL” by JENNIE & Doechii out now: https://jennie.lnk.to/extral

'Ruby' The 1st Studio Album out now: https://jennie.lnk.to/ruby

Directed by Cole Bennett
Produced by Lyric",2025-02-21,80189696,2261125,104753,2.95,https://i.ytimg.com/vi/eWAdpUyzCkI/hqdefault.jpg,https://www.youtube.com/watch?v=eWAdpUyzCkI
N6O2ncUKvlg,Nelly - Just A Dream (Official Music Video),"REMASTERED IN HD! UP TO 4K!!
Official Music Video for Just A Dream performed by Nelly. 

Listen to the Best Of playlist from Nelly here: https://Stream.lnk.to/NellyPlaylistIB

Follow Nelly:
Instagram:",2010-09-21,901796052,3967853,156157,0.46,https://i.ytimg.com/vi/N6O2ncUKvlg/hqdefault.jpg,https://www.youtube.com/watch?v=N6O2ncUKvlg
SXiSVQZLje8,Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,"Side To Side ft. Nicki Minaj (Official Video)
Listen to 'Dangerous Woman' the album: https://arianagrande.lnk.to/dangerouswoman-albumYD

Best of Ariana Grande https://goo.gl/XmsuFK
Ariana Grande Audio",2016-08-30,2336947426,12733480,533933,0.57,https://i.ytimg.com/vi/SXiSVQZLje8/hqdefault.jpg,https://www.youtube.com/watch?v=SXiSVQZLje8
uiVppkX77Y8,Jake Wesley Rogers - Little Queen | OurVinyl Sessions,"Get new music in your inbox every Friday - https://bit.ly/3tm817h
Please click those like and subscribe buttons. It helps us keep doing what we are doing!

Please enjoy Jake Wesley Rogers from Nashvil",2019-10-23,63129,849,63,1.44,https://i.ytimg.com/vi/uiVppkX77Y8/hqdefault.jpg,https://www.youtube.com/watch?v=uiVppkX77Y8
SlPhMPnQ58k,Maroon 5 - Memories (Official Video),"“Memories” is out now:
https://smarturl.it/MemoriesMaroon5

For more, visit:
https://www.facebook.com/maroon5
https://twitter.com/maroon5
https://www.instagram.com/maroon5

Sign up for updates: http:/",2019-10-08,1156000145,10095552,297675,0.9,https://i.ytimg.com/vi/SlPhMPnQ58k/hqdefault.jpg,https://www.youtube.com/watch?v=SlPhMPnQ58k
BDHM8cyJQa8,Gracie Abrams - That’s So True (Official Lyric Video),"Listen to the new album, The Secret of Us Deluxe, out now: https://gracieabrams.lnk.to/TheSecretofUsDeluxe 
 
Shop official Gracie merch and music: https://GracieAbrams.lnk.to/Shop 
 
Follow Gracie Ab",2024-10-18,24086180,228696,6117,0.97,https://i.ytimg.com/vi/BDHM8cyJQa8/hqdefault.jpg,https://www.youtube.com/watch?v=BDHM8cyJQa8
_Z5-P9v3F8w,Justin Bieber - Never Say Never ft. Jaden,"REMASTERED IN HD!
Official Music Video for Never Say Never performed by Justin Bieber.

Follow Justin 
Instagram: https://www.instagram.com/justinbieber
Twitter: https://twitter.com/justinbieber
Faceb",2010-05-27,1282696831,8079929,501722,0.67,https://i.ytimg.com/vi/_Z5-P9v3F8w/hqdefault.jpg,https://www.youtube.com/watch?v=_Z5-P9v3F8w
VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),"Coldplay's tenth studio album Moon Music available to listen/ buy now! https://coldplay.lnk.to/MoonMusic 🌙

Coldplay - A Sky Full Of Stars is taken from the album Ghost Stories released in 2014 (hear ",2014-06-19,1004236453,4691865,98368,0.48,https://i.ytimg.com/vi/VPRjCeoBqrI/hqdefault.jpg,https://www.youtube.com/watch?v=VPRjCeoBqrI
45CM_ixfnA4,"Lindsay Ell, Nightly - i shouldn’t call you (Lyric Video)","i shouldn’t call you is out now - click here to stream: https://lindsayell.lnk.to/ishouldntcallyou

‘love myself’ EP out now, click here to listen:
https://bio.to/lindsayell

Follow Lindsay Ell:
https",2025-01-31,312098,743,47,0.25,https://i.ytimg.com/vi/45CM_ixfnA4/hqdefault.jpg,https://www.youtube.com/watch?v=45CM_ixfnA4
q9miALJ2YSQ,Coldplay - Sparks (lyrics),A beautiful song by Coldplay... One of my all time favorite.,2010-03-20,2808045,44565,1756,1.65,https://i.ytimg.com/vi/q9miALJ2YSQ/hqdefault.jpg,https://www.youtube.com/watch?v=q9miALJ2YSQ
OqEc_169ywY,Henry Moodie - drunk text (official video),"I wish I was who you drunk texted at midnight…

Listen/Download Here: https://henrymoodie.lnk.to/drunktext

SUBSCRIBE to Henry’s channel: https://www.youtube.com/henrymoodie 

Follow Henry Moodie on T",2023-02-10,185150070,774937,11143,0.42,https://i.ytimg.com/vi/OqEc_169ywY/hqdefault.jpg,https://www.youtube.com/watch?v=OqEc_169ywY
t4H_Zoh7G5A,Jennifer Lopez - On The Floor ft. Pitbull,"Music video by Jennifer Lopez performing On The Floor feat. Pitbull. © 2011 Island Records
#VEVOCertified on April 15, 2012. http://www.vevo.com/certified http://www.youtube.com/vevocertified",2011-03-04,2599371448,11079090,497802,0.45,https://i.ytimg.com/vi/t4H_Zoh7G5A/hqdefault.jpg,https://www.youtube.com/watch?v=t4H_Zoh7G5A
BcqxLCWn-CE,Lauv - I Like Me Better [Official Video],"Official Music Video for ""I Like Me Better"" by Lauv

I met you when I was 18. is a collection of songs, a story. about making a big move, falling in love for the first time, and figuring out your own ",2017-08-10,300584005,2392341,34746,0.81,https://i.ytimg.com/vi/BcqxLCWn-CE/hqdefault.jpg,https://www.youtube.com/watch?v=BcqxLCWn-CE
A4IeGvEEcpI,Set Fire to the Rain,"Provided to YouTube by Beggars Group Digital Ltd.

Set Fire to the Rain · Adele

Set Fire to the Rain

℗ 2010 XL Recordings Ltd

Released on: 2011-07-04

Associated  Performer: Adele Adkins
Producer, ",2020-12-15,4990258,62777,645,1.27,https://i.ytimg.com/vi/A4IeGvEEcpI/hqdefault.jpg,https://www.youtube.com/watch?v=A4IeGvEEcpI
kbEC-AGr9n0,LISA - BORN AGAIN feat. Doja Cat & RAYE (Official Music Video),"Stream LISA’s new single “Born Again” feat. Doja Cat & RAYE: https://lisa.lnk.to/BornAgain 
LISA’s debut album, ‘Alter Ego’ is out now. Listen here: https://lisa.lnk.to/AlterEgo   
Shop vinyl, CDs, ph",2025-02-07,103639449,2609786,139870,2.65,https://i.ytimg.com/vi/kbEC-AGr9n0/hqdefault.jpg,https://www.youtube.com/watch?v=kbEC-AGr9n0
